"id";"title";"year";"depth";"priority";"horizontalDepth"
"12874910053775752459";"Effective urban transport planning using multi-modal traffic simulations approach";"2016"
"10000706560672542980";"Assessing Public Transportation Options for Intercity Travel in US Rural and Small Urban Areas: A Multimodal, Multiobjective, and People-Oriented Evaluation";"2016"
"10189762630522663972";" Analysis the principles and Dimensions of Urban Parks with point on green spaces in Mashhad city, Iran";"2013"
"7869408849974158736";" Random Utility Simulation Of Spatial Economics";"2007"
"1491698432291072926";"What Are the Benefit of Living in Urban Compared to Rural Area (Cases in Great Bandung Area of West Java, Indonesia)";"2017"
"1573113413551134432";"Evaluating the impact of distance measures on deforestation simulations in the fluvial landscapes of Amazonia";"2014"
"8449377731801859222";"Pedestrians choices";"2009"
"15185591906963929808";"Integrating Knowledge about Land Use and the Environment Through the Use of Multiple Models";"2003"
"12729963262468137357";"The enhancement of spatial microsimulation models using geodemographics";"2012"
"10419595971443001192";" Wavelet based Estimation of Time-Varying Long Memory Model with Nonlinear Fractional Integration Parameter";"2014"
"6575786254483896922";" Land-use modelling to support strategic urban planning-the case of Dar es Salaam, Tanzania";"2010"
"12966447336818816304";" Assessing uncertainty about the benefits of transportation infrastructure projects using bayesian melding: Application to seattle's alaskan way viaduct";"2009"
"4534801189194599913";"Accessibility and ICT: A review of literature, a conceptual model and a research agenda";"2009"
"3566091640449739088";"An Approach Towards Service Infrastructure Optimization for Electromobility";"2014"
"14639919888471914387";"Green accessibility: Estimating the environmental costs of space-time prisms for Sustainable Transportation Planning";"2015"
"11605221935851039545";"Evolving supply chains and local freight flows: A geographic information system analysis of Minnesota cereal grain movement";"2018"
"13840336689578951250";" The Rural Economy Research Centre";"2006"
"10042254406600495251";"Research of Construction Enterprises' Incentive Strategies on the New Generation of Migrant Workers with Fuzzy Preference Relation Models";"2011"
"17464016811089311066";"An UrbanSim Model of Brussels in a Short Timeline";"2007"
"5558640376423581264";"Simultaneous modeling of developer behavior and land prices in UrbanSim";"2010"
"14134295633346334214";"Towards interactive sustainable neighborhood design: combining a tangible user interface with real time building simulations";"2015"
"337772378705712040";"Modélisation des phénomènes de panique dans le cadre de la gestion de crise";"2013"
"14701214985549557875";" Solar energy and urban morphology: Scenarios for increasing the renewable energy potential of neighbourhoods in London";"2015"
"15317119753847835024";"Agent-based modeling of urban land-use development, case study: Simulating future scenarios of Qazvin city";"2013"
"2430216919395058240";"Optimal redistribution: A life-cycle perspective";"2014"
"12261162716991611109";" La création et l'utilisation collectives de connaissances dans les réussites techniques et économiques";"2001"
"3658857737872619515";" Planning models";"2006"
"7514900924931191689";"时空制约下的城市居民活动-移动系统——活动分析法的理论和模型进展";"2009"
"8457668460887267734";" A micro-simulator of urban land use dynamics integrating a multi-agent model of land development and an activity-based model of transport demand";"2004"
"6378110245159415612";"Collaborative decisionmaking for sustainable urban renewal projects: a simulation–gaming approach";"2005"
"2137744486333194947";"Financial crises and regime-dependent dynamics";"2012"
"170406074219826233";"Population Synthesis using Discrete Copulas";"2018"
"12827633058436869220";" Risk-based framework using geographic information systems to identify transportation corridors vulnerable to development.";"2008"
"11970265784753924364";"Accounting for Differences in Income Inequality across Countries: Ireland and the United Kingdom";"2018"
"10547189088517391243";"Open regonal scence";"2014"
"2682521509966728565";"Theoretical substantiation of trip length distribution for home-based work trips in urban transit systems";"2018"
"4998835648849475251";"在庫管理モデルを応用した貨物の時間価値に対する理論的アプローチ";"2016"
"7465695123260556941";" Policy-oriented Energy System Modeling with 'xeona'";"2005"
"5089943456300045550";" Smooth income tax schedules: derivation and consequences";"2018"
"16108027934094450667";"Optimization of transport measures to reduce GHG and pollutant emissions through a LUTI modeling approach";"2016"
"3016226949146313026";"Key research themes on urban space, scale, and sustainable urban mobility";"2016"
"15837411716697730768";"Development of prototype UrbanSim models";"2010"
"1267188293821233825";"Active accessibility: A review of operational measures of walking and cycling accessibility";"2015"
"5293919341894805931";"Freight demand analysis for multimodal shipments";"2012"
"17969986423573111258";"지역간 도로 네트워크의 수요가중 접근성 평가모형";"2015"
"15639442787359158443";"Microeconomic reform and income distribution: the case of Australian ports and rail freight";"2015"
"17425857435190180874";"Part II: Policy instruments for sustainable road transport";"2010"
"4405044750639047775";" Socio-dynamic discrete choice: Theory and application";"2013"
"17550893934940580698";" Modeling Biological Systems:: Principles and Applications";"2005"
"2952213568682174716";"Encounter and its configurational logic: Understanding spatiotemporal co-presence with road network and social media check-in data";"2017"
"8750030037013010383";"Facility allocation strategies and the sustainability of service delivery: Modelling library patronage patterns and their related CO2-emissions";"2013"
"10927135171721396968";"アジア途上国都市における土地利用交通施策の早期実施によるスプロール抑制効果";"2013"
"5777717231776523709";"Assessment of ASTER land cover and MODIS NDVI data at multiple scales for ecological characterization of an arid urban center";"2005"
"10911062218444135287";" New Information Technologies and the City: Re-discovering people and places";"NA"
"17135391292487652858";" AZDV: Map Overlay Routing in Vehicular Ad Hoc Networks";"2009"
"2553998061775939935";"Time consumption analysis of vehicle on single road section with pedestrian's crossing zebra numbers";"2011"
