HID,Area,LC4402_C_TYPACCOM,QS420_CELL,LC4402_C_TENHUK11,LC4408_C_AHTHUK11,CommunalSize,LC4404_C_SIZHUK11,LC4404_C_ROOMS,LC4405EW_C_BEDROOMS,LC4408EW_C_PPBROOMHEW11,LC4402_C_CENHEATHUK11,LC4605_C_NSSEC,LC4202_C_ETHHUK11,LC4202_C_CARSNO
3207,E00000027,5,-2,6,2,-2,2,2,1,-1,2,3,6,1
1429,E00000017,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1
1020,E00000014,5,-2,5,1,-2,1,3,1,-1,2,2,7,1
5311,E00166758,5,-2,6,3,-2,3,3,1,-1,2,2,4,2
1887,E00000021,5,-2,3,1,-2,1,2,1,-1,2,1,2,2
4941,E00166757,5,-2,6,2,-2,2,3,2,-1,2,2,2,1
818,E00000013,5,-2,2,1,-2,1,2,1,-1,2,1,2,2
3447,E00000028,5,-2,6,2,-2,2,2,1,-1,1,6,2,1
2135,E00000022,5,-2,5,3,-2,4,5,2,-1,2,7,2,1
1975,E00000021,5,-2,6,5,-2,2,3,2,-1,2,2,2,1
408,E00000005,5,-2,6,1,-2,1,3,1,-1,2,9,2,2
830,E00000013,5,-2,2,1,-2,1,3,2,-1,2,2,2,2
5058,E00166757,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
2601,E00000025,5,-2,6,1,-2,1,3,2,-1,2,2,4,1
866,E00000013,5,-2,5,2,-2,2,2,1,-1,2,7,2,1
1479,E00000018,5,-2,2,1,-2,1,5,4,-1,2,1,4,2
2739,E00000025,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
3021,E00000026,-2,-2,-1,-1,-2,0,4,2,-1,1,-1,-1,1
3424,E00000028,5,-2,6,1,-2,1,1,1,-1,2,1,6,1
131,E00000003,5,-2,2,2,-2,2,5,3,-1,2,1,2,1
173,E00000003,5,-2,2,2,-2,3,6,3,-1,2,2,6,2
3929,E00000031,5,-2,5,3,-2,4,4,2,-1,2,7,8,1
3066,E00000027,5,-2,2,1,-2,1,2,1,-1,2,1,2,1
4679,E00166756,5,-2,6,1,-2,1,3,2,-1,2,1,2,1
3247,E00000027,4,-2,6,2,-2,2,3,2,-1,2,1,6,1
4329,E00166755,4,-2,2,1,-2,1,4,2,-1,2,6,2,2
4455,E00166755,4,-2,6,3,-2,2,5,3,-1,2,6,4,1
4542,E00166755,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
5298,E00166758,5,-2,6,2,-2,2,3,1,-1,2,2,2,1
5090,E00166757,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
405,E00000005,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
208,E00000003,5,-2,6,1,-2,1,2,2,-1,2,1,2,2
164,E00000003,5,-2,2,2,-2,2,6,4,-1,2,2,2,1
4745,E00166757,5,-2,2,2,-2,2,2,1,-1,1,1,2,1
2820,E00000025,-2,-2,-1,-1,-2,0,4,2,-1,1,-1,-1,1
748,E00000012,5,-2,5,2,-2,2,3,1,-1,2,5,4,1
1959,E00000021,5,-2,6,1,-2,1,3,2,-1,2,1,2,1
33,E00000001,5,-2,2,2,-2,2,5,3,-1,2,2,2,2
215,E00000003,5,-2,6,5,-2,4,5,4,-1,2,1,6,1
3153,E00000027,5,-2,6,1,-2,1,1,1,-1,2,1,4,1
4772,E00166757,5,-2,2,3,-2,3,3,2,-1,2,1,2,1
4979,E00166757,5,-2,6,5,-2,2,6,4,-1,2,1,4,1
4645,E00166756,5,-2,6,1,-2,1,1,1,-1,2,9,4,1
1148,E00000016,5,-2,3,3,-2,3,2,1,-1,2,1,4,2
805,E00000013,5,-2,2,2,-2,2,1,1,-1,2,2,2,1
4492,E00166755,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
2973,E00000026,5,-2,6,2,-2,2,4,2,-1,2,1,2,1
5412,E00166759,5,-2,2,5,-2,2,4,3,-1,2,1,2,1
1731,E00000020,5,-2,3,2,-2,2,2,1,-1,2,2,2,3
2996,E00000026,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
4969,E00166757,5,-2,6,2,-2,2,4,2,-1,2,9,4,1
5133,E00166758,5,-2,2,1,-2,1,2,1,-1,2,1,2,3
150,E00000003,5,-2,2,1,-2,1,6,4,-1,2,2,2,2
507,E00000007,5,-2,3,2,-2,3,4,2,-1,2,1,4,1
1763,E00000020,5,-2,3,1,-2,1,6,3,-1,2,4,2,2
3329,E00000027,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
4050,E00000032,5,-2,5,2,-2,2,5,1,-1,2,9,6,2
2139,E00000022,5,-2,6,1,-2,1,4,2,-1,2,1,2,2
1266,E00000017,5,-2,2,1,-2,1,2,1,-1,2,1,2,2
1205,E00000016,5,-2,6,1,-2,1,2,1,-1,2,2,3,2
5421,E00166759,5,-2,3,1,-2,1,1,1,-1,2,2,5,1
4106,E00000035,5,-2,3,1,-2,1,2,1,-1,2,2,2,1
3627,E00000029,5,-2,6,4,-2,2,1,1,-1,2,1,2,1
3113,E00000027,4,-2,3,2,-2,2,2,1,-1,2,2,2,1
4146,E00000035,5,-2,6,1,-2,1,2,1,-1,1,2,6,1
1797,E00000020,5,-2,6,3,-2,2,4,2,-1,2,1,2,1
1120,E00000016,5,-2,2,2,-2,2,4,2,-1,2,2,2,1
3839,E00000030,5,-2,6,1,-2,1,2,1,-1,2,2,2,1
1989,E00000021,5,-2,6,1,-2,1,4,3,-1,2,4,2,1
5212,E00166758,5,-2,2,1,-2,1,5,3,-1,2,3,2,2
5461,E00166759,5,-2,5,1,-2,1,3,1,-1,2,8,2,1
3043,E00000026,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
3880,E00000031,5,-2,3,3,-2,3,4,2,-1,2,2,2,1
1002,E00000014,5,-2,5,1,-2,1,2,1,-1,2,6,6,1
5120,E00166757,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
401,E00000005,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
2236,E00000023,5,-2,6,2,-2,3,4,1,-1,2,5,6,1
4814,E00166757,5,-2,3,1,-2,1,4,2,-1,2,2,4,1
278,E00000005,5,-2,2,2,-2,2,3,1,-1,2,1,2,1
2736,E00000025,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
80,E00000001,5,-2,5,1,-2,1,6,2,-1,2,2,2,2
5203,E00166758,5,-2,2,4,-2,2,4,1,-1,2,1,2,3
15,E00000001,5,-2,2,1,-2,1,5,3,-1,2,1,2,2
3002,E00000026,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
2223,E00000023,5,-2,5,4,-2,2,5,1,-1,2,3,4,1
5426,E00166759,5,-2,3,1,-2,1,2,1,-1,2,1,2,1
306,E00000005,5,-2,2,2,-2,2,4,2,-1,2,2,2,1
619,E00000010,5,-2,5,1,-2,1,2,1,-1,2,7,2,1
861,E00000013,5,-2,3,2,-2,3,4,2,-1,2,4,2,1
4598,E00166756,5,-2,3,1,-2,1,2,1,-1,2,2,2,1
2677,E00000025,5,-2,6,5,-2,3,4,1,-1,2,1,2,2
4340,E00166755,5,-2,3,1,-2,1,3,1,-1,2,1,6,2
5411,E00166759,5,-2,2,5,-2,2,4,2,-1,2,2,2,2
1030,E00000014,5,-2,6,1,-2,1,1,1,-1,2,4,6,1
3454,E00000028,5,-2,6,5,-2,2,2,1,-1,2,1,4,1
4893,E00166757,5,-2,6,1,-2,1,3,1,-1,2,1,4,1
310,E00000005,5,-2,2,5,-2,3,4,1,-1,2,1,2,3
2082,E00000022,5,-2,3,4,-2,2,4,2,-1,2,2,2,1
386,E00000005,5,-2,6,1,-2,1,1,1,-1,2,9,4,1
939,E00000014,5,-2,2,2,-2,2,2,1,-1,2,2,2,1
5086,E00166757,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
1358,E00000017,5,-2,3,2,-2,4,6,3,-1,2,1,4,2
1680,E00000019,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
1100,E00000016,5,-2,2,4,-2,2,3,2,-1,2,1,2,2
3132,E00000027,5,-2,3,2,-2,4,3,2,-1,2,3,2,1
915,E00000013,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
1829,E00000020,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
240,E00000005,5,-2,2,3,-2,2,1,1,-1,2,2,2,2
2664,E00000025,5,-2,6,2,-2,2,4,2,-1,1,2,5,1
4252,E00000035,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
1359,E00000017,5,-2,3,2,-2,4,6,4,-1,2,1,2,1
885,E00000013,5,-2,6,3,-2,3,2,1,-1,2,1,2,1
5391,E00166759,5,-2,2,2,-2,2,2,1,-1,2,3,2,1
840,E00000013,5,-2,2,2,-2,2,6,2,-1,2,5,2,1
852,E00000013,5,-2,3,3,-2,2,3,2,-1,2,2,2,2
1189,E00000016,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
1879,E00000021,5,-2,2,3,-2,3,4,3,-1,2,1,2,1
2438,E00000024,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
2896,E00000026,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
4264,E00000035,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1
